### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
## TABLE 11 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
3 | 03.16 ~ 03.22 | 금 | 미술 | 1. 조형 원리를 찾아라! | 조형 원리를 활용하여 표현하기 -2- | 5/6 | 8 | 
3 | 03.16 ~ 03.22 | 금 | 미술 | 1. 조형 원리를 찾아라! | 조형 원리를 활용한 작품 감상하고 이야기하기 | 6/6 | 9 | 
4 | 03.23 ~ 03.29 | 월 | 국어 | 1. 대화를 나누어요 | 배려하며 대화하는 방법 알기 -2-,[어울림교육-3]감정조절 | 3/13 | 38~41 | 
4 | 03.23 ~ 03.29 | 월 | 국어 | 1. 대화를 나누어요 | 주제를 정하여 대화하기 -1- | 4/13 | 42~45 | 
4 | 03.23 ~ 03.29 | 월 | 영어 | 2. Do You Want Some Soup? | 음식을 권하고 답하는 표현 이해하기 | 1/7 | 22~25 | 
4 | 03.23 ~ 03.29 | 월 | 수학 | 1. 자연수의 혼합 계산 | 덧셈, 뺄셈, 나눗셈이 섞여 있는 식을 계산해 볼까요 -1- | 6/12 | 16~17 | 
4 | 03.23 ~ 03.29 | 월 | 자율·자치활동 | 학급특색교육 | 학급특색교육 -2- 【경제･금융교육】 | 2/2 |  | 
4 | 03.23 ~ 03.29 | 월 | 실과 | 1. 건강한 발달을 위한 실천 | 올바른 생활 습관을 실천해요. 【보건교육】 | 5/6 | 16~17 | 
4 | 03.23 ~ 03.29 | 화 | 도덕 | 1. 내 삶의 주인이 되는 나 | 자주적인 나 | 3/4 | 14~17 | 
4 | 03.23 ~ 03.29 | 화 | 과학 | 1. 지층과 화석 | 우리나라 화석 산지의 안내서 만들기 -1- | 10/13 | 30~31 | 
4 | 03.23 ~ 03.29 | 화 | 사회 | 1. 우리나라 국토 여행 | 독도의 지리적 특성을 살펴볼까요 -1- 【독도교육】 | 10/16 | 36~39 | 
4 | 03.23 ~ 03.29 | 화 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 심폐지구력 기르기 -2- 【교통안전-자전거안전】 | 9/13 | 18~19 | 
4 | 03.23 ~ 03.29 | 화 | 수학 | 1. 자연수의 혼합 계산 | 덧셈, 뺄셈, 나눗셈이 섞여 있는 식을 계산해 볼까요 -2- | 7/12 | 16~17 | 
4 | 03.23 ~ 03.29 | 화 | 음악 | 1. 고장 난 시계 | 음악을 감상하며 음악적 특징을 다양한 방법으로 표현하기 -2- | 2/2 | 12~13 | 
## TABLE 56 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
4 | 03.23 ~ 03.29 | 수 | 국어 | 1. 대화를 나누어요 | 주제를 정하여 대화하기 -2- | 5/13 | 42~45 | 
4 | 03.23 ~ 03.29 | 수 | 영어 | 2. Do You Want Some Soup? | 음식을 권하고 답하는 내용 이해하여 말하기 | 2/7 | 26~27 | 
4 | 03.23 ~ 03.29 | 수 | 수학 | 1. 자연수의 혼합 계산 | 덧셈, 뺄셈, 곱셈, 나눗셈이 섞여 있는 식을 계산해 볼까요 -1- | 8/12 | 18~19 | 
4 | 03.23 ~ 03.29 | 수 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 건강 체력 올림픽 -1- | 10/13 | 20~21 | 
4 | 03.23 ~ 03.29 | 수 | 과학 | 1. 지층과 화석 | 우리나라 화석 산지의 안내서 만들기 -2- | 11/13 | 30~31 | 
4 | 03.23 ~ 03.29 | 목 | 국어 | 1. 대화를 나누어요 | 생략된 내용을 짐작하는 방법 알기 | 6/13 | 46~51 | 
4 | 03.23 ~ 03.29 | 목 | 국어 | 1. 대화를 나누어요 | 생략된 내용을 짐작하는 방법 알기 -2-,[어울림교육-4]공감 | 7/13 | 46~51 | 
4 | 03.23 ~ 03.29 | 목 | 영어 | 2. Do You Want Some Soup? | 음식을 권하고 답하는 문장 읽고 쓰기 | 3/7 | 28~29 | 
4 | 03.23 ~ 03.29 | 목 | 사회 | 1. 우리나라 국토 여행 | 독도의 지리적 특성을 살펴볼까요 -2- 【독도교육】 | 11/16 | 36~39 | 
4 | 03.23 ~ 03.29 | 목 | 수학 | 1. 자연수의 혼합 계산 | 덧셈, 뺄셈, 곱셈, 나눗셈이 섞여 있는 식을 계산해 볼까요 -2- | 9/12 | 18~19 | 
4 | 03.23 ~ 03.29 | 목 | 음악 | 1. 고사리껑자 | 자진모리장단에 맞추어 노래 부르며 흥겹게 놀이하기 | 1/1 | 14~15 | 
4 | 03.23 ~ 03.29 | 금 | 과학 | 1. 지층과 화석 | 우리나라 화석 산지의 안내서 만들기 -3- | 12/13 | 30~31 | 
4 | 03.23 ~ 03.29 | 금 | 사회 | 1. 우리나라 국토 여행 | 독도는 옛 자료에 어떻게 기록되어 있을까요 -1- 【독도교육】 | 12/16 | 40~43 | 
4 | 03.23 ~ 03.29 | 금 | 실과 | 1. 건강한 발달을 위한 실천 | 대단원 마무리 | 6/6 | 18~19 | 
4 | 03.23 ~ 03.29 | 금 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 건강 체력 올림픽 -2- | 11/13 | 20~21 | 
4 | 03.23 ~ 03.29 | 금 | 미술 | 2. 이미지를 읽어요 | 이미지의 의미를 살펴볼까요 | 1/6 | 10~11 | 
