### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
## TABLE 11 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
13 | 05.25 ~ 05.31 | 수 | 국어 | <매체> 필요한 정보를 찾아요 | 필요한 정보 선택하기 -2- | 7/12 | 172~177 | 
13 | 05.25 ~ 05.31 | 수 | 영어 | 5. Let’s Go Camping | 활동을 제안하고 답하는 내용 이해하여 말하기 -1- | 2/7 | 72~73 | 
13 | 05.25 ~ 05.31 | 수 | 수학 | 4. 약분과 통분 | 분수의 크기를 비교해 볼까요 -1- | 6/12 | 82~83 | 
13 | 05.25 ~ 05.31 | 수 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 매트에서 작품발표하기 -1- | 14/24 | 52~53 | 
13 | 05.25 ~ 05.31 | 수 | 과학 | 3. 용해와 용액 | 용액의 필요성을 알리는 공모전 참가하기 -1- | 10/12 | 84~85 | 
13 | 05.25 ~ 05.31 | 목 | 국어 | <매체> 필요한 정보를 찾아요 | 필요한 정보를 검색하고 목적에 맞는 글 쓰기 -1- | 8/12 | 178~183 | 
13 | 05.25 ~ 05.31 | 목 | 국어 | <매체> 필요한 정보를 찾아요 | 필요한 정보를 검색하고 목적에 맞는 글 쓰기 -2- | 9/12 | 178~183 | 
13 | 05.25 ~ 05.31 | 목 | 사회 | 2. 우리나라 지리 탐구 | 인구 분포의 불균형을 해결하기 위한 방안을 찾아볼까요 -2- [통일교육] | 16/18 | 88~93 | 
13 | 05.25 ~ 05.31 | 목 | 수학 | 4. 약분과 통분 | 분수의 크기를 비교해 볼까요 -2- | 7/12 | 82~83 | 
13 | 05.25 ~ 05.31 | 목 | 음악 | 2. 단소를 만나요 | 단소를 연주하는 바른 자세와 주법을 익히고, 가락 만들어 연주하기 -1- | 1/2 | 34~35 | 
13 | 05.25 ~ 05.31 | 금 | 과학 | 3. 용해와 용액 | 용액의 필요성을 알리는 공모전 참가하기 -2- | 11/12 | 84~85 | 
13 | 05.25 ~ 05.31 | 금 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 간식이나 식사를 스스로 마련해요 -1- | 5/16 | 44~47 | 
13 | 05.25 ~ 05.31 | 금 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 매트에서 작품발표하기 -2- | 15/24 | 52~53 | 
## TABLE 173 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
13 | 05.25 ~ 05.31 | 금 | 미술 | 4. 사람과 자연의 어울림 | 자연과 사람의 관계 표현하기 -2- | 5/6 | 24 | 
13 | 05.25 ~ 05.31 | 금 | 미술 | 4. 사람과 자연의 어울림 | 자연에 표현한 작품 감상하기 | 6/6 | 25 | 
14 | 06.01 ~ 06.07 | 월 | 국어 | <매체> 필요한 정보를 찾아요 | 필요한 정보를 검색하고 목적에 맞는 글 쓰기 -3- | 10/12 | 178~183 | 
14 | 06.01 ~ 06.07 | 월 | 국어 | <매체> 필요한 정보를 찾아요 | 필요한 정보를 검색하고 목적에 맞는 글 쓰기 -4- | 11/12 | 178~183 | 
14 | 06.01 ~ 06.07 | 월 | 수학 | 4. 약분과 통분 | 분수와 소수의 크기를 비교해 볼까요 -1- | 8/12 | 84~85 | 
14 | 06.01 ~ 06.07 | 화 | 도덕 | 3. 함께 사는 세상, 봉사하는 우리 | 봉사의 마음을 키워요 【인성교육】 | 4/4 | 50~53 | 
14 | 06.01 ~ 06.07 | 화 | 과학 | 3. 용해와 용액 | [단원 마무리] 과학으로 보는 세상 | 12/12 | 86~89 | 
14 | 06.01 ~ 06.07 | 화 | 사회 | 2. 우리나라 지리 탐구 | 단원 마무리 | 18/18 | 94~97 | 
14 | 06.01 ~ 06.07 | 화 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 매트에서 작품발표하기 -3- | 16/24 | 52~53 | 
14 | 06.01 ~ 06.07 | 화 | 수학 | 4. 약분과 통분 | 분수와 소수의 크기를 비교해 볼까요 -2- | 9/12 | 84~85 | 
14 | 06.01 ~ 06.07 | 화 | 음악 | 2. 단소를 만나요 | 단소를 연주하는 바른 자세와 주법을 익히고, 가락 만들어 연주하기 -2- | 2/2 | 34~35 | 
14 | 06.01 ~ 06.07 | 목 | 국어 | <매체> 필요한 정보를 찾아요 | 정보 검색을 위한 계획을 세우고 소개하기 | 12/12 | 184~185 | 
14 | 06.01 ~ 06.07 | 목 | 영어 | 5. Let’s Go Camping | 활동을 제안하고 답하는 글을 읽고 내용 이해하기 | 5/7 | 76~77 | 
14 | 06.01 ~ 06.07 | 목 | 사회 | 3. 법과 인권의 보장 | 단원·주제 도입,[어울림교육-7]사이버 갈등관리 및 문제해결, 학생 도박예방교육 | 1/18 | 98~101 | 
14 | 06.01 ~ 06.07 | 목 | 수학 | 4. 약분과 통분 | 하하! 놀이와 만나요 | 10/12 | 86~87 | 
14 | 06.01 ~ 06.07 | 목 | 음악 | 2. 하쿠나 마타타 | 빠르기 변화에 유의하여 노래 부르고 꿈과 관련된 음악을 감상하며 느낌을 표현하기 -1- | 1/2 | 36~37 | 
14 | 06.01 ~ 06.07 | 금 | 과학 | 4. 우리 몸의 구조와 기능 | [단원 열기] 우리 몸 골격 모형 만들기 | 1/13 | 90~93 | 
14 | 06.01 ~ 06.07 | 금 | 사회 | 3. 법과 인권의 보장 | 법이란 무엇일까요,[어울림교육-8]사이버 갈등관리 및 문제해결, 학생 도박예방교육 | 2/18 | 102~103 | 
## TABLE 182 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
14 | 06.01 ~ 06.07 | 금 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 간식이나 식사를 스스로 마련해요 -3- | 7/16 | 44~47 | 
14 | 06.01 ~ 06.07 | 금 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 평균대에서 동작 수행하기 -1- | 17/24 | 54~55 | 
14 | 06.01 ~ 06.07 | 금 | 미술 | 5. 디지털 매체로 새롭게 | 다양한 표현 매체를 알아볼까요 | 1/6 | 26 | 
14 | 06.01 ~ 06.07 | 금 | 미술 | 5. 디지털 매체로 새롭게 | 디지털 매체로 표현하기 -1- | 2/6 | 27 | 
15 | 06.08 ~ 06.14 | 월 | 국어 | 4. 대상을 설명해요 | 설명하는 글의 구조 알기 -1- | 2/14 | 190~197 | 
15 | 06.08 ~ 06.14 | 월 | 국어 | 4. 대상을 설명해요 | 설명하는 글의 구조 알기 -2- | 3/14 | 190~197 | 
15 | 06.08 ~ 06.14 | 월 | 영어 | 5. Let’s Go Camping | 활동을 제안하고 답하는 글 읽고 쓰기 | 6/7 | 78~79 | 
15 | 06.08 ~ 06.14 | 월 | 수학 | 4. 약분과 통분 | 와우! 세상과 만나요 | 11/12 | 88~89 | 
15 | 06.08 ~ 06.14 | 월 | 자율·자치활동 | 정보 통신 | 사이버 공간에서 하는 일들을 분류하기 【디지털 시민교육, 약물 및 사이버 중독 예방-사이버중독, 직업안전-직업안전의식】 | 1/10 |  | 
15 | 06.08 ~ 06.14 | 월 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 간식이나 식사를 스스로 마련해요 -4- | 8/16 | 44~47 | 
15 | 06.08 ~ 06.14 | 화 | 도덕 | 4. 우리 스스로 만드는 따뜻한 세상 | 탐구를 위한 질문을 만들어요 | 1/4 | 54~59 | 
15 | 06.08 ~ 06.14 | 화 | 과학 | 4. 우리 몸의 구조와 기능 | 우리 몸속 뼈와 근육의 생김새와 하는 일을 알아볼까요 -1- | 2/13 | 94~97 | 
15 | 06.08 ~ 06.14 | 화 | 국어 | 4. 대상을 설명해요 | 설명하는 글의 구조 알기 -3- | 4/14 | 190~197 | 
15 | 06.08 ~ 06.14 | 화 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 평균대에서 동작 수행하기 -2- | 18/24 | 54~55 | 
15 | 06.08 ~ 06.14 | 화 | 수학 | 4. 약분과 통분 | 됐다! 마무리 | 12/12 | 90~92 | 
15 | 06.08 ~ 06.14 | 화 | 음악 | 2. 하쿠나 마타타 | 빠르기 변화에 유의하여 노래 부르고 꿈과 관련된 음악을 감상하며 느낌을 표현하기 -2- | 2/2 | 36~37 | 
15 | 06.08 ~ 06.14 | 수 | 국어 | 4. 대상을 설명해요 | 설명하는 글을 읽고 내용 요약하기 -1- | 5/14 | 198~203 | 
15 | 06.08 ~ 06.14 | 수 | 영어 | 5. Let’s Go Camping | 문제를 풀며 학습한 내용 정리하기 | 7/7 | 80~81 | 
## TABLE 191 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
15 | 06.08 ~ 06.14 | 수 | 수학 | 5. 분수의 덧셈과 뺄셈 | 단원 도입 | 1/10 | 93~95 | 
15 | 06.08 ~ 06.14 | 수 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 평균대에서 동작 수행하기 -3- | 19/24 | 54~55 | 
15 | 06.08 ~ 06.14 | 수 | 과학 | 4. 우리 몸의 구조와 기능 | 우리 몸속 뼈와 근육의 생김새와 하는 일을 알아볼까요 -2- | 3/13 | 94~97 | 
15 | 06.08 ~ 06.14 | 목 | 국어 | 4. 대상을 설명해요 | 설명하는 글을 읽고 내용 요약하기 -2- | 6/14 | 198~203 | 
15 | 06.08 ~ 06.14 | 목 | 국어 | 4. 대상을 설명해요 | 알맞은 내용 선정하기 -1- | 7/14 | 204~210 | 
15 | 06.08 ~ 06.14 | 목 | 영어 | 6. What Time Do You Get Up? | 일과를 묻고 답하는 표현 이해하기 | 1/7 | 82~85 | 
15 | 06.08 ~ 06.14 | 목 | 사회 | 3. 법과 인권의 보장 | 우리 생활 속 다양한 법을 찾아볼까요 | 3/18 | 104~105 | 
15 | 06.08 ~ 06.14 | 목 | 수학 | 5. 분수의 덧셈과 뺄셈 | 분수의 덧셈을 해 볼까요(1) | 2/10 | 96~97 | 
15 | 06.08 ~ 06.14 | 목 | 음악 | 2. 돔소소리 | 메나리토리의 특징을 살려 노래 부르고 중중모리장단을 장구로 연주하기 -1- | 1/2 | 38~39 | 
15 | 06.08 ~ 06.14 | 금 | 과학 | 4. 우리 몸의 구조와 기능 | 우리가 먹은 음식물은 어떻게 될까요 | 4/13 | 98~99 | 
15 | 06.08 ~ 06.14 | 금 | 사회 | 3. 법과 인권의 보장 | 법은 어떤 역할을 하며, 우리는 왜 법을 지켜야 할까요 | 4/18 | 106~109 | 
15 | 06.08 ~ 06.14 | 금 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 옷은 나를 보호하고 표현해요 | 9/16 | 48~49 | 
15 | 06.08 ~ 06.14 | 금 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 태권도의 기본 동작 -1- | 20/24 | 56~57 | 
15 | 06.08 ~ 06.14 | 금 | 미술 | 5. 디지털 매체로 새롭게 | 디지털 매체로 표현하기 -2- | 3/6 | 27 | 
15 | 06.08 ~ 06.14 | 금 | 미술 | 5. 디지털 매체로 새롭게 | 디지털 매체로 만화 그리기 -1- 【소방안전교육】 | 4/6 | 28 | 
16 | 06.15 ~ 06.21 | 월 | 국어 | 4. 대상을 설명해요 | 알맞은 내용 선정하기 -2- | 8/14 | 204~210 | 
16 | 06.15 ~ 06.21 | 월 | 국어 | 4. 대상을 설명해요 | 설명하는 글 쓰기 -1- | 9/14 | 211~217 | 
16 | 06.15 ~ 06.21 | 월 | 영어 | 6. What Time Do You Get Up? | 일과를 묻고 답하는 내용 이해하여 말하기 -1- | 2/7 | 86~87 | 
16 | 06.15 ~ 06.21 | 월 | 수학 | 5. 분수의 덧셈과 뺄셈 | 분수의 덧셈을 해 볼까요(2) | 3/10 | 98~99 | 
## TABLE 200 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
16 | 06.15 ~ 06.21 | 월 | 자율·자치활동 | 정보 통신 | 사이버 공간의 편리함을 알고 바르게 이용하는 방법을 실천하기 【디지털 시민교육, 약물 및 사이버 중독 예방-사이버중독】 | 2/10 |  | 
16 | 06.15 ~ 06.21 | 월 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 건강하고 적절한 옷 입기를 실천해요 -1- | 10/16 | 50~53 | 
16 | 06.15 ~ 06.21 | 화 | 도덕 | 4. 우리 스스로 만드는 따뜻한 세상 | 탐구 질문을 함께 생각해요 | 2/4 | 60~61 | 
16 | 06.15 ~ 06.21 | 화 | 과학 | 4. 우리 몸의 구조와 기능 | 숨을 쉴 때는 어떤 일이 일어날까요 | 5/13 | 100~101 | 
16 | 06.15 ~ 06.21 | 화 | 사회 | 3. 법과 인권의 보장 | 인권이란 무엇일까요 -1- | 5/18 | 110~113 | 
16 | 06.15 ~ 06.21 | 화 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 태권도의 기본 동작 -2- | 21/24 | 56~57 | 
16 | 06.15 ~ 06.21 | 화 | 수학 | 5. 분수의 덧셈과 뺄셈 | 분수의 덧셈을 해 볼까요(3) | 4/10 | 100~101 | 
16 | 06.15 ~ 06.21 | 화 | 음악 | 2. 돔소소리 | 메나리토리의 특징을 살려 노래 부르고 중중모리장단을 장구로 연주하기 -2- | 2/2 | 38~39 | 
16 | 06.15 ~ 06.21 | 수 | 국어 | 4. 대상을 설명해요 | 설명하는 글 쓰기 -2- | 10/14 | 211~217 | 
16 | 06.15 ~ 06.21 | 수 | 영어 | 6. What Time Do You Get Up? | 일과를 묻고 답하는 내용 이해하여 말하기 -2- | 3/7 | 86~87 | 
16 | 06.15 ~ 06.21 | 수 | 수학 | 5. 분수의 덧셈과 뺄셈 | 분수의 뺄셈을 해 볼까요(1) | 5/10 | 102~103 | 
16 | 06.15 ~ 06.21 | 수 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 태권도 겨루기 -1- | 22/24 | 58~59 | 
16 | 06.15 ~ 06.21 | 수 | 과학 | 4. 우리 몸의 구조와 기능 | 몸속에서 혈액은 어떻게 이동할까요 | 6/13 | 102~103 | 
16 | 06.15 ~ 06.21 | 목 | 국어 | 4. 대상을 설명해요 | 설명하는 글 쓰기 -3- | 11/14 | 211~217 | 
16 | 06.15 ~ 06.21 | 목 | 국어 | 4. 대상을 설명해요 | 배운 내용 실천하기 -1- | 12/14 | 218~219 | 
16 | 06.15 ~ 06.21 | 목 | 영어 | 6. What Time Do You Get Up? | 일과를 묻고 답하는 문장 읽고 쓰기 | 4/7 | 88~89 | 
16 | 06.15 ~ 06.21 | 목 | 사회 | 3. 법과 인권의 보장 | 인권이란 무엇일까요 | 6/18 | 110~113 | 
16 | 06.15 ~ 06.21 | 목 | 수학 | 5. 분수의 덧셈과 뺄셈 | 분수의 뺄셈을 해 볼까요(2) | 6/10 | 104~105 | 
## TABLE 209 grid 18x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
16 | 06.15 ~ 06.21 | 목 | 음악 | 2. 싱그러운 여름 | 리듬꼴을 살려 노래 부르고 리듬 반주를 만들어 연주하기 -1- | 1/2 | 40~41 | 
16 | 06.15 ~ 06.21 | 금 | 과학 | 4. 우리 몸의 구조와 기능 | 우리 몸은 노폐물을 어떻게 내보낼까요 | 7/13 | 104~105 | 
16 | 06.15 ~ 06.21 | 금 | 사회 | 3. 법과 인권의 보장 | 우리나라에서는 인권을 어떻게 보장할까요 | 7/18 | 114~117 | 
16 | 06.15 ~ 06.21 | 금 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 건강하고 적절한 옷 입기를 실천해요 -2- 【생활안전-신체활동 안전】 | 11/16 | 50~53 | 
16 | 06.15 ~ 06.21 | 금 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 태권도 겨루기 -2- | 23/24 | 58~59 | 
16 | 06.15 ~ 06.21 | 금 | 미술 | 5. 디지털 매체로 새롭게 | 디지털 매체로 만화 그리기 -2- | 5/6 | 28 | 
16 | 06.15 ~ 06.21 | 금 | 미술 | 5. 디지털 매체로 새롭게 | 디지털 매체를 탐색하며 감상하기 | 6/6 | 29 | 
17 | 06.22 ~ 06.28 | 월 | 국어 | 4. 대상을 설명해요 | 배운 내용 실천하기 -2- | 13/14 | 218~219 | 
17 | 06.22 ~ 06.28 | 월 | 국어 | 4. 대상을 설명해요 | 배운 내용 마무리하기 | 14/14 | 220~223 | 
17 | 06.22 ~ 06.28 | 월 | 영어 | 6. What Time Do You Get Up? | 일과를 묻고 답하는 글을 읽고 내용 이해하기 | 5/7 | 90~91 | 
17 | 06.22 ~ 06.28 | 월 | 자율·자치활동 | 정보 통신 | 인터넷과 게임 중독의 개념 및 증상 이해하고 대처법 알아보기 【디지털 시민교육, 약물 및 사이버 중독 예방-사이버중독】 | 3/10 |  | 
17 | 06.22 ~ 06.28 | 월 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 건강하고 적절한 옷 입기를 실천해요 -3- 【생활안전-신체활동 안전】 | 12/16 | 50~53 | 
17 | 06.22 ~ 06.28 | 화 | 도덕 | 4. 우리 스스로 만드는 따뜻한 세상 | 따뜻한 세상을 위해 할 수 있는 일을  찾아요 【인성교육】 | 3/4 | 62~63 | 
17 | 06.22 ~ 06.28 | 화 | 과학 | 4. 우리 몸의 구조와 기능 | 운동할 때 몸에서는 어떤 변화가 일어날까요 | 8/13 | 106~107 | 
17 | 06.22 ~ 06.28 | 화 | 사회 | 3. 법과 인권의 보장 | 헌법에 규정된 인권을 보장하는 다양한 사례를 조사해 볼까요 -1-, [어울림교육-10]사이버 폭력인식 및 대처 | 8/18 | 118~121 | 
17 | 06.22 ~ 06.28 | 화 | 수학 | 5. 분수의 덧셈과 뺄셈 | 하하! 놀이와 만나요 | 8/10 | 108~109 | 
17 | 06.22 ~ 06.28 | 화 | 음악 | 2. 싱그러운 여름 | 리듬꼴을 살려 노래 부르고 리듬 반주를 만들어 연주하기 -2- | 2/2 | 40~41 | 
## TABLE 218 grid 18x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
17 | 06.22 ~ 06.28 | 수 | 국어 | 5. 의논하며 토의해요 | 배울 내용 살펴보기 | 1/14 | 224~227 | 
17 | 06.22 ~ 06.28 | 수 | 영어 | 6. What Time Do You Get Up? | 일과를 소개하는 글 읽고 쓰기 | 6/7 | 92~93 | 
17 | 06.22 ~ 06.28 | 수 | 수학 | 5. 분수의 덧셈과 뺄셈 | 와우! 세상과 만나요 | 9/10 | 110~111 | 
17 | 06.22 ~ 06.28 | 수 | 체육 | 2-2. 전략을 세워 가며 즐기는 전략형 스포츠 | 영역형 스포츠와 친해지기 -1- | 1/8 | 60~61 | 
17 | 06.22 ~ 06.28 | 수 | 과학 | 4. 우리 몸의 구조와 기능 | 우리 몸에는 어떤 질병이 생길까요 【보건교육】 | 9/13 | 108~109 | 
17 | 06.22 ~ 06.28 | 목 | 국어 | 5. 의논하며 토의해요 | 여러 가지 글을 읽고 다양한 관점 파악하기 -1- | 2/14 | 228~233 | 
17 | 06.22 ~ 06.28 | 목 | 국어 | 5. 의논하며 토의해요 | 여러 가지 글을 읽고 다양한 관점 파악하기 -2- | 3/14 | 228~233 | 
17 | 06.22 ~ 06.28 | 목 | 영어 | 6. What Time Do You Get Up? | 문제를 풀며 학습한 내용 정리하기 | 7/7 | 94~95 | 
17 | 06.22 ~ 06.28 | 목 | 사회 | 3. 법과 인권의 보장 | 헌법에 규정된 인권을 보장하는 다양한 사례를 조사해 볼까요 -2-, [어울림교육-11]사이버 폭력인식 및 대처 | 9/18 | 118~121 | 
17 | 06.22 ~ 06.28 | 목 | 수학 | 5. 분수의 덧셈과 뺄셈 | 됐다! 마무리 | 10/10 | 112~114 | 
17 | 06.22 ~ 06.28 | 목 | 음악 | 2. 구해 줘! 음악으로 전하는 지구의 경고 | 환경문제와 관련한 음악을 감상하고 음악을 활용한 '환경 캠페인' 활동에 참여하기 -1- | 1/3 | 42~45 | 
17 | 06.22 ~ 06.28 | 금 | 과학 | 4. 우리 몸의 구조와 기능 | 질병 예방 실천 자료 만들고 실천하기 -1- 【보건교육】 | 10/13 | 110~111 | 
17 | 06.22 ~ 06.28 | 금 | 사회 | 3. 법과 인권의 보장 | 일상생활에서 발생하는 인권 침해 사례를 찾아볼까요 -1- [양성평등교육], [어울림교육-12]사이버 폭력인식 및 대처 | 10/18 | 122~125 | 
17 | 06.22 ~ 06.28 | 금 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 옷 관리의 필요성을 알고 옷의 정리와 보관을 실천해요 【생활안전-신체활동 안전】 | 13/16 | 54~55 | 
17 | 06.22 ~ 06.28 | 금 | 체육 | 2-2. 전략을 세워 가며 즐기는 전략형 스포츠 | 영역형 스포츠와 친해지기 -2- | 2/8 | 60~61 | 
17 | 06.22 ~ 06.28 | 금 | 미술 | 6. 작품을 보고 읽는 재미 | 반 고흐는 왜 의자를 그렸을까요 -1- | 1/4 | 30~31 | 
17 | 06.22 ~ 06.28 | 금 | 미술 | 6. 작품을 보고 읽는 재미 | 반 고흐는 왜 의자를 그렸을까요 -2- | 2/4 | 30~31 | 
## TABLE 227 grid 17x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
18 | 06.29 ~ 07.05 | 월 | 국어 | 5. 의논하며 토의해요 | 여러 가지 글을 읽고 문제 해결에 활용하기 -1- | 4/14 | 234~241 | 
18 | 06.29 ~ 07.05 | 월 | 국어 | 5. 의논하며 토의해요 | 여러 가지 글을 읽고 문제 해결에 활용하기 -2- | 5/14 | 234~241 | 
18 | 06.29 ~ 07.05 | 월 | 영어 | Culture 3 | 백야와 극야 현상과 사람들의 생활 방식 -1- | 1/2 | 96~97 | 
18 | 06.29 ~ 07.05 | 월 | 수학 | 6. 다각형의 둘레와 넓이 | 단원 도입 | 1/14 | 115~117 | 
18 | 06.29 ~ 07.05 | 월 | 자율·자치활동 | 사이버폭력 예방 교육 | 사이버폭력의 정의와 특성: 익명성, 빠른 전파력(확산성), 기록이 남는 특성(영구성) 이해하기.[어울림교육-9]사이버 갈등관리 및 문제해결, 학생 도박예방교육 【약물 및 사이버 중독 예방-사이버중독, 학교폭력 예방교육】 | 1/3 |  | 
18 | 06.29 ~ 07.05 | 월 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 간단한 수선을 스스로 해요 -1- | 14/16 | 56~57 | 
18 | 06.29 ~ 07.05 | 화 | 도덕 | 4. 우리 스스로 만드는 따뜻한 세상 | 나의 생활을 성찰하고 표현해요 | 4/4 | 64~69 | 
18 | 06.29 ~ 07.05 | 화 | 과학 | 4. 우리 몸의 구조와 기능 | 질병 예방 실천 자료 만들고 실천하기 -2- 【보건교육】 | 11/13 | 110~111 | 
18 | 06.29 ~ 07.05 | 화 | 사회 | 3. 법과 인권의 보장 | 일상생활에서 발생하는 인권 침해 사례를 찾아볼까요 -2- | 11/18 | 122~125 | 
18 | 06.29 ~ 07.05 | 화 | 체육 | 2-2. 전략을 세워 가며 즐기는 전략형 스포츠 | 럭비형 게임의 기본 기능 -1- | 3/8 | 62~63 | 
18 | 06.29 ~ 07.05 | 화 | 수학 | 6. 다각형의 둘레와 넓이 | 다각형의 둘레를 구해 볼까요 -1- | 2/14 | 118~121 | 
18 | 06.29 ~ 07.05 | 화 | 음악 | 2. 구해 줘! 음악으로 전하는 지구의 경고 | 환경문제와 관련한 음악을 감상하고 음악을 활용한 '환경 캠페인' 활동에 참여하기 -2- | 2/3 | 42~45 | 
18 | 06.29 ~ 07.05 | 수 | 국어 | 5. 의논하며 토의해요 | 여러 가지 글을 읽고 문제 해결에 활용하기 -3- | 6/14 | 234~241 | 
18 | 06.29 ~ 07.05 | 수 | 영어 | Culture 3 | 백야와 극야 현상과 사람들의 생활 방식 -2- | 2/2 | 96~97 | 
18 | 06.29 ~ 07.05 | 수 | 수학 | 6. 다각형의 둘레와 넓이 | 다각형의 둘레를 구해 볼까요 -2- | 3/14 | 118~121 | 
18 | 06.29 ~ 07.05 | 수 | 체육 | 2-2. 전략을 세워 가며 즐기는 전략형 스포츠 | 럭비형 게임의 기본 기능 -2- | 4/8 | 62~63 | 
## TABLE 236 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
18 | 06.29 ~ 07.05 | 수 | 과학 | 4. 우리 몸의 구조와 기능 | 질병 예방 실천 자료 만들고 실천하기 -3- | 12/13 | 110~111 | 
18 | 06.29 ~ 07.05 | 목 | 국어 | 5. 의논하며 토의해요 | 협력하며 토의하는 방법 이해하기 -1- 【인성교육】 | 7/14 | 242~247 | 
18 | 06.29 ~ 07.05 | 목 | 국어 | 5. 의논하며 토의해요 | 협력하며 토의하는 방법 이해하기 -2- | 8/14 | 242~247 | 
18 | 06.29 ~ 07.05 | 목 | 영어 | Review 1 | 보석함 채우기 놀이하며 1~6단원 총정리하기 | 1/1 |  | 
18 | 06.29 ~ 07.05 | 목 | 사회 | 3. 법과 인권의 보장 | 인권 침해 문제를 어떻게 해결할 수 있을까요 【양성평등교육】 | 12/18 | 126~131 | 
18 | 06.29 ~ 07.05 | 목 | 수학 | 6. 다각형의 둘레와 넓이 | 1㎠를 알아볼까요 | 4/14 | 122~123 | 
18 | 06.29 ~ 07.05 | 목 | 음악 | 2. 구해 줘! 음악으로 전하는 지구의 경고 | 환경문제와 관련한 음악을 감상하고 음악을 활용한 '환경 캠페인' 활동에 참여하기 -3- | 3/3 | 42~45 | 
18 | 06.29 ~ 07.05 | 금 | 과학 | 4. 우리 몸의 구조와 기능 | [단원 마무리] 과학으로 보는 세상 | 13/13 | 112~115 | 
18 | 06.29 ~ 07.05 | 금 | 사회 | 3. 법과 인권의 보장 | 인권 침해 문제의 해결 방안을 토론해 볼까요 -1- 【양성평등교육】 | 13/18 | 132~135 | 
18 | 06.29 ~ 07.05 | 금 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 간단한 수선을 스스로 해요 -2- | 15/16 | 56~57 | 
18 | 06.29 ~ 07.05 | 금 | 체육 | 2-2. 전략을 세워 가며 즐기는 전략형 스포츠 | 럭비형 게임의 기본 기능 -3- | 5/8 | 62~63 | 
18 | 06.29 ~ 07.05 | 금 | 미술 | 6. 작품을 보고 읽는 재미 | 미술 작품 감상하고 비평문 쓰기 | 3/4 | 32 | 
18 | 06.29 ~ 07.05 | 금 | 미술 | 6. 작품을 보고 읽는 재미 | 미술 작품 소개하기 | 4/4 | 33 | 
19 | 07.06 ~ 07.12 | 월 | 국어 | 5. 의논하며 토의해요 | 다양한 자료를 살펴보고 협력하며 토의하기 -1- | 9/14 | 248~253 | 
19 | 07.06 ~ 07.12 | 월 | 국어 | 5. 의논하며 토의해요 | 다양한 자료를 살펴보고 협력하며 토의하기 -2- | 10/14 | 248~253 | 
19 | 07.06 ~ 07.12 | 월 | 영어 | 학기말 총정리 | 한 학기 동안 배운 내용 총정리하기 | 1/1 |  | 
19 | 07.06 ~ 07.12 | 월 | 수학 | 6. 다각형의 둘레와 넓이 | 직사각형의 넓이를 구해 볼까요 | 5/14 | 124~125 | 
19 | 07.06 ~ 07.12 | 월 | 자율·자치활동 | 사이버폭력 예방 교육 | 다양한 유형 알아보기:사이버 언어폭력 및 명예훼손 (악플, 헛소문 유포) | 2/3 |  | 
## TABLE 245 grid 17x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
