### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
T218: 17 | 06.22 ~ 06.28 | 금 | 사회 | 3. 법과 인권의 보장 | 일상생활에서 발생하는 인권 침해 사례를 찾아볼까요 -1- [양성평등교육], [어울림교육-12]사이버 폭력인식 및 대처 | 10/18 | 122~125 | 
T218: 17 | 06.22 ~ 06.28 | 금 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 옷 관리의 필요성을 알고 옷의 정리와 보관을 실천해요 【생활안전-신체활동 안전】 | 13/16 | 54~55 | 
T227: 18 | 06.29 ~ 07.05 | 월 | 자율·자치활동 | 사이버폭력 예방 교육 | 사이버폭력의 정의와 특성: 익명성, 빠른 전파력(확산성), 기록이 남는 특성(영구성) 이해하기.[어울림교육-9]사이버 갈등관리 및 문제해결, 학생 도박예방교육 【약물 및 사이버 중독 예방-사이버중독, 학교폭력 예방교육】 | 1/3 |  | 
T227: 18 | 06.29 ~ 07.05 | 화 | 과학 | 4. 우리 몸의 구조와 기능 | 질병 예방 실천 자료 만들고 실천하기 -2- 【보건교육】 | 11/13 | 110~111 | 
T236: 18 | 06.29 ~ 07.05 | 목 | 국어 | 5. 의논하며 토의해요 | 협력하며 토의하는 방법 이해하기 -1- 【인성교육】 | 7/14 | 242~247 | 
T236: 18 | 06.29 ~ 07.05 | 목 | 사회 | 3. 법과 인권의 보장 | 인권 침해 문제를 어떻게 해결할 수 있을까요 【양성평등교육】 | 12/18 | 126~131 | 
T236: 18 | 06.29 ~ 07.05 | 금 | 과학 | 4. 우리 몸의 구조와 기능 | [단원 마무리] 과학으로 보는 세상 | 13/13 | 112~115 | 
T236: 18 | 06.29 ~ 07.05 | 금 | 사회 | 3. 법과 인권의 보장 | 인권 침해 문제의 해결 방안을 토론해 볼까요 -1- 【양성평등교육】 | 13/18 | 132~135 | 
T245: 19 | 07.06 ~ 07.12 | 월 |  |  | 사이버 따돌림 (단톡방 초대 거부, 방폭, 카카오톡 감옥 등)사이버 스토킹 및 신상 털기디지털 성범죄 및 불법 촬영물 유포 【약물 및 사이버 중독 예방-사이버중독, 학교폭력 예방교육】 |  |  | 
T245: 19 | 07.06 ~ 07.12 | 수 | 진로활동 | 진로 탐구 | 자신의 장점과 단점, 성격 파악하기 【진로교육】 | 1/5 |  | 
T254: 19 | 07.06 ~ 07.12 | 목 | 사회 | 3. 법과 인권의 보장 | 인권 보호 활동에 참여해 볼까요 -1- 【양성평등교육】 | 15/18 | 136~139 | 
T254: 19 | 07.06 ~ 07.12 | 금 | 진로활동 | 진로 탐구 | 일에 대한 건전한 가치관 확립하기 【진로교육】 | 2/5 |  | 
T254: 20 | 07.13 ~ 07.19 | 월 | 진로활동 | 진로 탐구 | 진로 검사를 통하여 자신의 소질과 적성 파악하기 【진로교육】 | 3/5 |  | 
T254: 20 | 07.13 ~ 07.19 | 월 | 자율·자치활동 | 사이버폭력 예방 교육 | 피해자의 심리적/신체적 고통: 불안, 우울, 학업 중단 등 실제 피해 사례를 통한 공감대 형성. 【약물 및 사이버 중독 예방-사이버중독, 학교폭력 예방교육】 | 3/3 |  | 
T263: 20 | 07.13 ~ 07.19 | 목 | 진로활동 | 진로 탐구 | 자신에게 적합한 일과 직업이 무엇인지 알아보기 【진로교육】 | 4/5 |  | 
T263: 21 | 07.20 ~ 07.26 | 월 | 자율·자치활동 | 2학기 전교임원선거 | 2학기 전교임원선거 -1- 【민주시민교육】 | 1/2 |  | 
T263: 21 | 07.20 ~ 07.26 | 월 | 자율·자치활동 | 2학기 전교임원선거 | 2학기 전교임원선거 -2- 【민주시민교육】 | 2/2 |  | 
T272: 21 | 07.20 ~ 07.26 | 목 | 진로활동 | 진로 탐구 | 미래에 내가 갖고 싶은 직업 그림으로 표현하기 【진로교육】 | 5/5 |  | 
T272: 21 | 07.20 ~ 07.26 | 목 | 자율·자치활동 | 여름방학식 | 여름방학식 【생활안전-신체활동 안전, 교통안전-자동차안전】 | 1/1 |  | 
